,ENSG00000204287,ENSG00000104894,ENSG00000081059,ENSG00000171345,ENSG00000265972,label
PDAC_083,224.4006599,292.6861922,7.991702,0.079125762,1358.273,1
PDAC_232,155.0393698,289.8134412,199.7017,117.4600301,1378.434,1
PDAC_016,248.8256001,280.9452445,101.6444,10.16444445,1382.771,1
PDAC_117,369.5032267,393.4762927,89.65437,75.95547957,1387.747,1
PDAC_109,319.7825479,339.7689571,97.40212,8.60174575,1413.469,1
PDAC_082,350.8878028,543.6556083,223.3209,6.299601487,1451.743,1
PDAC_119,309.2055,327.4048724,35.84725,95.77649553,1483.341,1
PDAC_099,300.6349028,375.7167004,97.85251,0.153856143,1537.484,1
PDAC_007,272.488251,412.8197002,187.1994,14.4418773,1539.831,1
PDAC_013,309.2703728,390.1815696,157.1926,18.96011695,1560.859,1
PDAC_054,275.7037075,316.3133718,0.0,0.0,1567.478,1
PDAC_086,178.3918113,235.4441171,80.41068,3.307380046,1576.38,1
PDAC_011,203.7000861,258.4581738,49.00849,89.2556829,1588.806,1
PDAC_114,377.1740427,376.2684628,74.71034,3.169529771,1637.062,1
PDAC_037,266.1524194,267.6245013,120.4163,27.38072456,1650.793,1
PDAC_001,331.8745119,387.5966522,136.756,26.58638065,1692.606,1
PDAC_055,555.1551425,597.9984406,49.53191,429.5176224,1744.644,1
PDAC_024,542.6964402,378.2990808,65.87588,13.25313627,1810.515,1
PDAC_066,223.37283,273.1457367,55.39817,3.489087878,1814.539,1
PDAC_222,135.600971,148.6581259,52.80894,0.096719665,1841.542,1
PDAC_020,372.8161041,293.6168281,153.2474,0.321948276,1868.266,1
PDAC_005,476.9936361,523.810586,85.54511,0.735344763,2012.394,1
PDAC_113,210.9906972,342.9672392,35.49911,11.16504368,2218.981,1
PDAC_101,254.0145879,295.4344896,42.38156,79.40531737,2897.401,1
CP_045,94.02221132,175.7166572,40.84722,2.759947495,413.4401,0
CP_53,140.6383724,113.1967388,21.15292594,0.0,487.0889972,0
N_117,148.9206926,237.0044711,34.02254,0.0,516.6813,0
N_113,191.4390345,277.238901,56.44997,10.32870859,630.5625,0
N_045,356.8768635,313.8402996,74.35335,0.0,808.6647,0
N_114,292.1138464,251.5618301,125.3959,0.073330952,812.7269,0
N_054,242.1630266,285.0919267,55.80757,0.0,827.317,0
N_011,321.7187761,308.5081017,79.52308,0.129516415,835.7694,0
N_108,216.2428153,206.9810188,109.3697,0.0,847.3336,0
N_099,473.4574839,253.2826473,102.0605,0.0,847.4336,0
N_057,336.8444671,334.2422351,108.7155,0.0,866.8324,0
N_101,258.5267363,233.6901066,90.22818,0.0,867.8926,0
N_116,390.7167044,233.513263,127.7734,0.0,879.4642,0
N_076,226.422933,290.7861246,83.53665,0.0,882.0467,0
CP_001,204.6150768,295.555111,134.1366,0.324785836,916.2208,0
N_094,222.6666167,228.7807774,36.79613,0.0,946.3609,0
CP_034,271.2626978,301.7624219,56.14722,0.231058516,955.658,0
CP_044,294.1357841,555.6248619,85.79618,0.0,960.4756,0
N_061,326.6531996,223.6528035,60.41719,0.0,969.7687,0
N_018,452.7756929,334.7792961,149.2695,0.0,978.4375,0
N_050,377.4585059,273.0814098,70.04863,0.927796409,993.0514,0
N_077,362.0147348,326.7936835,125.6012,0.0,995.9525,0
N_095,270.4779872,288.99393,129.4099,0.0,997.6019,0
N_097,389.9661676,321.4389781,35.57026,0.871108342,1010.34,0
CP_029,482.4534857,358.6379894,88.40376,0.251147051,1018.401,0
N_020,266.3709716,299.0590694,99.96845,6.770350351,1022.217,0
N_036,272.0081512,346.5270509,113.0534,0.566683648,1024.422,0
CP_97,519.3517946,482.6220381,207.671088,0.0,1025.735026,0
N_005,354.6451707,425.1033625,120.9056,11.43474235,1031.985,0
N_086,188.7255265,151.1907004,171.0621,1.051395691,1040.041,0
N_089,338.9442055,460.376972,162.1884,0.0,1040.241,0
N_008,424.0613667,355.0703802,149.5511,0.0,1040.437,0
CP_004,330.3936507,338.2174134,19.36702,0.0,1046.076,0
